Date,ABEV
2020-09-08,2.1629035472869873
2020-09-09,2.1722261905670166
2020-09-10,2.1722261905670166
2020-09-11,2.134934902191162
2020-09-14,2.228163242340088
2020-09-15,2.27477765083313
2020-09-16,2.256131887435913
2020-09-17,2.368006467819214
2020-09-18,2.228163242340088
2020-09-21,2.2001945972442627
2020-09-22,2.2001945972442627
2020-09-23,2.08832049369812
2020-09-24,2.1535804271698
2020-09-25,2.1722261905670166
2020-09-28,2.0789976119995117
2020-09-29,2.041706085205078
2020-09-30,2.106966257095337
2020-10-01,2.106966257095337
2020-10-02,2.08832049369812
2020-10-05,2.1629035472869873
2020-10-06,2.256131887435913
2020-10-07,2.2654550075531006
2020-10-08,2.2934234142303467
2020-10-09,2.302746295928955
2020-10-12,2.349360466003418
2020-10-13,2.3213918209075928
2020-10-14,2.3400378227233887
2020-10-15,2.256131887435913
2020-10-16,2.1908717155456543
2020-10-19,2.209517478942871
2020-10-20,2.256131887435913
2020-10-21,2.2468090057373047
2020-10-22,2.2841005325317383
2020-10-23,2.3400378227233887
2020-10-26,2.3866517543792725
2020-10-27,2.27477765083313
2020-10-28,2.1722261905670166
2020-10-29,2.106966257095337
2020-10-30,1.9950920343399048
2020-11-02,2.032383441925049
2020-11-03,2.0976433753967285
2020-11-04,2.0976433753967285
2020-11-05,2.2654550075531006
2020-11-06,2.3120691776275635
2020-11-09,2.4798805713653564
2020-11-10,2.666337728500366
2020-11-11,2.6010775566101074
2020-11-12,2.5264947414398193
2020-11-13,2.610400438308716
2020-11-16,2.6756603717803955
2020-11-17,2.712952136993408
2020-11-18,2.5824320316314697
2020-11-19,2.610400438308716
2020-11-20,2.5078492164611816
2020-11-23,2.5544633865356445
2020-11-24,2.591754674911499
2020-11-25,2.5731093883514404
2020-11-27,2.5451407432556152
2020-11-30,2.4798805713653564
2020-12-01,2.666337728500366
2020-12-02,2.684983491897583
2020-12-03,2.6943063735961914
2020-12-04,2.712952136993408
2020-12-07,2.750243663787842
2020-12-08,2.759566307067871
2020-12-09,2.7875349521636963
2020-12-10,2.9367008209228516
2020-12-11,2.9180550575256348
2020-12-14,2.8155033588409424
2020-12-15,2.8900861740112305
2020-12-16,2.94602370262146
2020-12-17,2.973992347717285
2020-12-18,2.9950437545776367
2020-12-21,2.908923864364624
2020-12-22,2.899355173110962
2020-12-23,2.8897862434387207
2020-12-24,2.9184927940368652
2020-12-28,2.899355173110962
2020-12-29,2.9854745864868164
2020-12-30,2.9184927940368652
2020-12-31,2.9280617237091064
2021-01-04,2.8610799312591553
2021-01-05,2.9280617237091064
2021-01-06,2.9376304149627686
2021-01-07,2.8610799312591553
2021-01-08,2.9376304149627686
2021-01-11,2.83237361907959
2021-01-12,3.0524566173553467
2021-01-13,2.9471993446350098
2021-01-14,3.057779550552368
2021-01-15,2.9327757358551025
2021-01-19,2.9520070552825928
2021-01-20,2.9231600761413574
2021-01-21,2.8270037174224854
2021-01-22,2.6923842430114746
2021-01-25,2.7404625415802
2021-01-26,2.788541078567505
2021-01-27,2.7500782012939453
2021-01-28,2.788541078567505
2021-01-29,2.6827685832977295
2021-02-01,2.788541078567505
2021-02-02,2.807772397994995
2021-02-03,2.8462350368499756
2021-02-04,2.79815673828125
2021-02-05,2.807772397994995
2021-02-08,2.72123122215271
2021-02-09,2.7019999027252197
2021-02-10,2.72123122215271
2021-02-11,2.72123122215271
2021-02-12,2.6827685832977295
2021-02-16,2.7693097591400146
2021-02-17,2.7596938610076904
2021-02-18,2.6539218425750732
2021-02-19,2.7019999027252197
2021-02-22,2.5962278842926025
2021-02-23,2.6539218425750732
2021-02-24,2.625074863433838
2021-02-25,2.5193023681640625
2021-02-26,2.451992988586426
2021-03-01,2.4039146900177
2021-03-02,2.4231460094451904
2021-03-03,2.451992988586426
2021-03-04,2.557765245437622
2021-03-05,2.6058435440063477
2021-03-08,2.461608409881592
2021-03-09,2.538533926010132
2021-03-10,2.6058435440063477
2021-03-11,2.644306182861328
2021-03-12,2.644306182861328
2021-03-15,2.634690523147583
2021-03-16,2.6058435440063477
2021-03-17,2.6827685832977295
2021-03-18,2.6539218425750732
2021-03-19,2.7596938610076904
2021-03-22,2.7693097591400146
2021-03-23,2.6635375022888184
2021-03-24,2.567380905151367
2021-03-25,2.5769965648651123
2021-03-26,2.5769965648651123
2021-03-29,2.5962278842926025
2021-03-30,2.634690523147583
2021-03-31,2.634690523147583
2021-04-01,2.567380905151367
2021-04-05,2.6154592037200928
2021-04-06,2.6539218425750732
2021-04-07,2.6154592037200928
2021-04-08,2.7019999027252197
2021-04-09,2.6635375022888184
2021-04-12,2.634690523147583
2021-04-13,2.6635375022888184
2021-04-14,2.711615562438965
2021-04-15,2.7404625415802
2021-04-16,2.7693097591400146
2021-04-19,2.7500782012939453
2021-04-20,2.730846881866455
2021-04-21,2.788541078567505
2021-04-22,2.8366193771362305
2021-04-23,2.807772397994995
2021-04-26,2.7596938610076904
2021-04-27,2.711615562438965
2021-04-28,2.7404625415802
2021-04-29,2.7789254188537598
2021-04-30,2.6731529235839844
2021-05-03,2.644306182861328
2021-05-04,2.6154592037200928
2021-05-05,2.6827685832977295
2021-05-06,3.0000853538513184
2021-05-07,3.0000853538513184
2021-05-10,3.0866265296936035
2021-05-11,3.144320249557495
2021-05-12,3.0962421894073486
2021-05-13,3.0962421894073486
2021-05-14,3.1827828884124756
2021-05-17,3.211629867553711
2021-05-18,3.202014207839966
2021-05-19,3.221245527267456
2021-05-20,3.221245527267456
